title,date,category,link
"Integrated Pain Management Medical Group Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals",2022-01-04,"Integrated Pain Management Medical Group Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals",https://oig.hhs.gov/fraud/enforcement/integrated-pain-management-medical-group-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals/
"Ohio home healthcare provider agrees to pay $500,000 as part of False Claims Act settlement",2022-01-04,"Ohio home healthcare provider agrees to pay $500,000 as part of False Claims Act settlement",https://oig.hhs.gov/fraud/enforcement/ohio-home-healthcare-provider-agrees-to-pay-500000-as-part-of-false-claims-act-settlement/
"Central Medical Systems, LLC, Alan Trent Harley And Joan Harley Agree To Pay $600K To Settle False Claims Act Liability",2022-01-04,"Central Medical Systems, LLC, Alan Trent Harley And Joan Harley Agree To Pay $600K To Settle False Claims Act Liability",https://oig.hhs.gov/fraud/enforcement/central-medical-systems-llc-alan-trent-harley-and-joan-harley-agree-to-pay-600k-to-settle-false-claims-act-liability/
"Emergency Ambulance Service Agreed to Pay $430,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",2022-01-05,"Emergency Ambulance Service Agreed to Pay $430,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",https://oig.hhs.gov/fraud/enforcement/emergency-ambulance-service-agreed-to-pay-430000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-covered-by-the-snf-consolidated-billing-payment/
Attorney General Alan Wilson announces arrest of Irmo man for alleged fraud and exploitation of a vulnerable nursing home resident,2022-01-05,Attorney General Alan Wilson announces arrest of Irmo man for alleged fraud and exploitation of a vulnerable nursing home resident,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-irmo-man-for-alleged-fraud-and-exploitation-of-a-vulnerable-nursing-home-resident/
"North Carolina Physician Indicted for Adulterating Medical Devices for Reuse on Patients, Fabricating Records, and Other Charges",2022-01-05,"North Carolina Physician Indicted for Adulterating Medical Devices for Reuse on Patients, Fabricating Records, and Other Charges",https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-indicted-for-adulterating-medical-devices-for-reuse-on-patients-fabricating-records-and-other-charges/
"United States Attorney Announces Flint, MI, Man Sentenced to Federal Prison for Aggravated Identity Theft",2022-01-06,"United States Attorney Announces Flint, MI, Man Sentenced to Federal Prison for Aggravated Identity Theft",https://oig.hhs.gov/fraud/enforcement/united-states-attorney-announces-flint-mi-man-sentenced-to-federal-prison-for-aggravated-identity-theft/
"AG Healey Secures $630,000 From Home Health Care Company to Resolve False Billing Allegations",2022-01-06,"AG Healey Secures $630,000 From Home Health Care Company to Resolve False Billing Allegations",https://oig.hhs.gov/fraud/enforcement/ag-healey-secures-630000-from-home-health-care-company-to-resolve-false-billing-allegations/
"Carbon Health Medical Group of Florida Agreed to Pay $92,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2022-01-06,"Carbon Health Medical Group of Florida Agreed to Pay $92,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/carbon-health-medical-group-of-florida-agreed-to-pay-92000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Auspicious Laboratories Agreed to Pay $112,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2022-01-10,"Auspicious Laboratories Agreed to Pay $112,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",https://oig.hhs.gov/fraud/enforcement/auspicious-laboratories-agreed-to-pay-112000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/
